,"AD",,".ANDORRA",,,,,,,,
,"AD","ALV","Andorra la Vella","Andorra la Vella",,"--34-6--","AI","0601",,"4230N 00131E",
,"AD","CAN","Canillo","Canillo",,"--3-----","RL","0307",,"4234N 00135E",
,"AD","EAC","Escàs","Escas","04","--3-----","RL","1407",,"4233N 00131E",
,"AD","ENC","Encamp","Encamp",,"--3-----","RL","0307",,"4232N 00134E",
,"AD","ESC","Escaldes-Engordany","Escaldes-Engordany",,"--3-----","RL","0307",,"4231N 00133E",
,"AD","FMO","La Farga de Moles","La Farga de Moles",,"--3----B","RQ","0307",,,
,"AD","LMA","La Massana","La Massana",,"--3-----","RL","0307",,"4234N 00129E",
,"AD","ORD","Ordino","Ordino",,"--3-----","RL","0307",,"4233N 00131E",
,"AD","PAS","Pas de la Casa","Pas de la Casa",,"--3----B","RL","0307",,"4233N 00144E",
,"AD","SCO","Santa Coloma","Santa Coloma",,"--3-----","RL","0307",,"4230N 00130E",
,"AD","SJL","Sant Julià de Lòria","Sant Julia de Loria",,"--3-----","RL","1101",,"4228N 00130E",
,"AD","SCO","Santa Coloma","Santa Coloma",,"--3-----","RL","0307",,"4230N 00130E",
,"AD","XXX","Test change","Workflow exercise json-ld generation",,"--3-----","RL","0307",,"4230N 00130E",
