,"DK",,".DENMARK",,,,,,,,
,"DK","2DH","Tisvildeleje","Tisvildeleje","84","-23-----","RL","1601",,"5603N 01205E",
,"DK","2NK","Refsvindinge","Refsvindinge","83","--3-----","RL","1607",,"5517N 01041E",
,"DK","AAB","Åbenrå","Abenra","83","1-3-----","AF","1101","XNR","5502N 00926E",
,"DK","AAE","Aarre","Aarre","83","-----6--","RL","0901",,"5534N 00840E",
,"DK","AAF","Aalbaek","Aalbaek","81","-----6--","RL","0901",,"5735N 01024E",
,"DK","AAG","Bjaeverskov","Bjaeverskov","85","-----6--","RL","0901",,"5527N 01202E",
,"DK","AAH","Barrit","Barrit","83","-----6--","RL","0901",,"5543N 00954E",
,"DK","AAI","Oelsted","Oelsted","84","-----6--","RL","0901",,"5555N 12043E",
,"DK","AAJ","Ebberup","Ebberup","83","-----6--","RL","0901",,"5514N 00958E",
,"DK","AAK","Fanoe","Fanoe","83","-----6--","RL","0901",,"5526N 00823E",
"¦","DK","AAL","Aalborg","Aalborg","81","12345---","AA","2307",,"5702N 09055E","@Sta@Sub@Coo"
,"DK","AAM","Fakse","Fakse","85","-----6--","RL","0901",,"5515N 01208E",
,"DK","AAN","Glesborg","Glesborg","82","-----6--","RL","0901",,"5629N 01044E",
,"DK","AAO","Hurup Thy","Hurup Thy","82","-----6--","RL","0901",,"5645N 00825E",
,"DK","AAP","Aarup","Aarup",,"-23-----","AF","9606",,,
,"DK","AAR","Aarhus","Aarhus","82","12345---","AF","1301",,"5609N 01013E",
,"DK","AAS","Vorbasse","Vorbasse","83","-----6--","RL","0901",,"5538N 00905E",
,"DK","AAT","Lystrup","Lystrup","82","-----6--","RL","0901",,"5630N 01029E",
,"DK","AAU","Langholt","Langholt","81","-----6--","RL","0901",,"5706N 01005E",
,"DK","AAV","Oure","Oure","83","-----6--","RL","0901",,"5507N 01044E",
,"DK","AAW","Oelgod","Oelgod","83","-----6--","RL","0901",,"5549N 00837E",
,"DK","AAZ","Reersoe","Reersoe","85","-----6--","RL","0901",,"5447N 01138E",
,"DK","ABA","Sønder Bjert","Sonder Bjert","83","-----6--","RL","0901",,"5515N 01124E",
,"DK","ABB","Stilling","Stilling","82","-----6--","RL","0901",,"5604N 01000E",
