,"GB",,".UNITED KINGDOM",,,,,,,,
,"GB","2AB","Aston","Aston","BIR","--3-----","RL","1307",,"5230N 00153W",
,"GB","4ED","Edgmond","Edgmond","TFW","--3-----","RL","1501",,"5246N 00225W",
,"GB","4NS","South Nutfield","South Nutfield","WSX","--3-----","RL","1501",,"5101N 00008W",
,"GB","5PE","Pendlebury","Pendlebury","SLF","--3-----","RL","1407",,"5331N 00220W",
,"GB","7TR","Norton","Norton","WOR","1-3-----","RL","1401",,"5209N 00211W",
,"GB","87N","Weedon Beck","Weedon Beck","NTH","--3-----","RL","1407",,"5213N 00104W",
,"GB","8IE","Tiffield","Tiffield","NTH","--3-----","RL","1407",,"5209N 00058W",
,"GB","8MR","Forkhill","Forkhill","ARM","--3-----","RL","1601",,"5404N 00627W",
,"GB","8TN","Crumlin","Crumlin","ANT","--3-----","RL","1601",,"5437N 00614W",
,"GB","AAB","Astley Abbotts","Astley Abbotts","SHR","--3-----","RQ","0901",,"5234N 00226W",
,"GB","AAW","Llandanwg","Llandanwg","GWN","--3-----","RL","1501",,"5249N 00407W",
,"GB","ABA","Aberaeron","Aberaeron","CGN","1-3-----","AF","1401",,"5215N 00415W",
,"GB","ABB","Abbots Langley","Abbots Langley","HRT","--3-----","AF","9804",,,
,"GB","ABC","Abercarn","Abercarn","CAY","-23-----","RL","0701",,"5139N 00308W",
,"GB","ABD","Aberdeen","Aberdeen","ABE","1--4----","AF","1401","ABZ","5708N 00206W",
,"GB","ABE","Aberdare","Aberdare","POW","--3-----","AF","9511",,,
,"GB","ABF","Aberdyfi (Aberdovey)","Aberdyfi (Aberdovey)","GWN","123-----","AA","0701",,"5233N 00402W",
,"GB","ABG","Abridge","Abridge","ESS","--3-----","AF","9811",,,
,"GB","ABH","Aldborough","Aldborough","NFK","--3-----","RL","0701",,"5252N 00115E",
,"GB","ABI","Albrighton","Albrighton","SHR","--3-----","RQ","1001",,"5238N 00216W",
,"GB","ABJ","Saint Abbs","Saint Abbs","SCB","1-3-----","AA","1101",,"5554N 00208W",
,"GB","ABK","Ashbocking","Ashbocking","SFK","--3--6--","RQ","1001",,"5209N 00110E",
,"GB","ABL","Aberlour","Aberlour","MRY","-23-----","RL","0701",,"5728N 00313W",
,"GB","ABM","Abermule","Abermule","POW","--3-----","RL","0407",,"5232N 00314W",
,"GB","ABN","Abington","Abington","NTH","--3-----","AF","9704",,,
,"GB","ABO","Albourne","Albourne","WSX","--3-----","RL","0201",,"5056N 00011W",
,"GB","ABP","Aberporth","Aberporth","CGN","--3-----","RQ","0907",,"5208N 00433W",
,"GB","ABR","Appley Bridge","Appley Bridge","LAN","--3-----","AF","9511",,,
,"GB","ABS","Aber Sôch (Abersoch)","Aber Soch (Abersoch)","GWN","1-3-----","AA","0701",,"5249N 00430W",
,"GB","ABT","Abertillery","Abertillery","BGW","-23-----","AF","1401",,"5144N 00307W",
,"GB","ABU","Ashburton","Ashburton","DEV","--3-----","RL","0701",,"5031N 00345W",
,"GB","ABV","Aberdovey","Aberdovey",,"1-------","RQ","0901",,"5232N 00403W",
,"GB","ABW","Barmouth (Abermaw)","Barmouth (Abermaw)","GWN","123-----","AA","0701",,"5243N 00403W",
,"GB","ABX","Alford","Alford","LIN","--3-----","RL","0201",,"5315N 00011E",
,"GB","ABY","Aboyne","Aboyne","ABD","--3-----","AF","1401",,"5705N 00250W",
